Client_Income,Credit_Amount,Loan_Annuity,Age_Days,Employed_Days,Registration_Days,ID_Days,Phone_Change,Credit_Bureau,Divorce,Education_Days
33750.0,133988.4,3547.35,7716.0,2977.0,5516.0,4043.0,674.0,1.0,0,4380
11250.0,13752.0,653.85,10231.0,1184.0,3910.0,3910.0,739.0,0.0,0,4380
15750.0,128835.0,3779.55,17673.0,365243.0,113.0,4855.0,0.0,3.0,0,4380
13500.0,60415.2,3097.8,18843.0,365243.0,12617.0,5280.0,1687.0,4.0,0,4380
12150.0,16320.15,1294.65,16857.0,365243.0,2834.0,4053.0,533.0,5.0,0,4380
27000.0,67500.0,3375.0,11166.0,2263.0,2933.0,4640.0,1799.0,1.0,0,5840
15750.0,149963.85,4397.85,7668.0,369.0,5165.0,2155.0,1333.0,3.0,0,5840
15750.0,45000.0,3007.35,10886.0,3465.0,5871.0,2594.0,340.0,2.0,0,4380
27000.0,38053.35,3064.05,13989.0,4624.0,849.0,1169.0,1281.0,1.0,0,4380
15750.0,49121.1,4785.3,14558.0,1644.0,9078.0,1738.0,40.0,1.0,0,4380
18000.0,77368.05,3407.85,9695.0,389.0,6248.0,1032.0,1183.0,4.0,0,5840
19350.0,111384.0,4732.2,19077.0,6145.0,7682.0,4850.0,0.0,2.0,0,4380
22500.0,89660.25,4745.25,7964.0,616.0,10384.0,856.0,2.0,0.0,0,4380
31500.0,125640.0,3468.15,8920.0,5222.0,6717.0,3919.0,0.0,0.0,0,4380
11250.0,17064.0,965.7,20030.0,365243.0,7343.0,4865.0,535.0,5.0,0,4380
27000.0,38152.8,1868.4,7736.0,1053.0,1361.0,4021.0,1542.0,1.0,0,4380
20250.0,157500.0,8001.0,16784.0,3323.0,2898.0,3963.0,2104.0,0.0,0,5840
22500.0,43787.7,2248.65,16703.0,6904.0,6212.0,558.0,1877.0,9.0,0,4380
11250.0,18000.0,900.0,13250.0,2283.0,1481.0,432.0,504.0,1.0,1,4380
15750.0,20250.0,1306.8,10213.0,352.0,10213.0,2666.0,1159.0,1.0,0,5840
35550.0,77968.8,3316.5,16108.0,212.0,5235.0,2980.0,378.0,5.0,0,4380
12150.0,25128.0,1712.7,12362.0,300.0,996.0,3921.0,374.0,4.0,0,4380
13950.0,80865.0,2621.7,17594.0,8303.0,7944.0,4111.0,65.0,2.0,0,4380
15750.0,60415.2,2572.65,17379.0,365243.0,12286.0,4198.0,282.0,3.0,0,4380
31500.0,52823.25,4248.0,9829.0,3324.0,3144.0,3708.0,1784.0,1.0,0,4380
9000.0,28440.0,1338.75,18566.0,365243.0,5844.0,4284.0,427.0,2.0,0,4380
18000.0,107820.0,3165.3,13857.0,2664.0,8417.0,1046.0,357.0,4.0,0,4380
6750.0,40500.0,1539.9,9640.0,215.0,4509.0,1607.0,0.0,1.0,0,5110
54000.0,24750.0,1237.5,13004.0,6936.0,8168.0,4597.0,2591.0,1.0,0,5110
11250.0,64008.0,3113.1,10040.0,3548.0,4703.0,4703.0,644.0,0.0,0,5840
12150.0,80865.0,2473.2,19735.0,365243.0,11073.0,4003.0,1560.0,6.0,0,4380
9000.0,90000.0,2631.6,16235.0,674.0,1137.0,3426.0,1992.0,1.0,0,5840
13500.0,22500.0,2225.25,13912.0,531.0,3884.0,1086.0,1566.0,4.0,0,5840
13950.0,30600.0,1360.8,13202.0,3483.0,1149.0,403.0,532.0,2.0,0,4380
24750.0,103500.0,3039.3,14315.0,643.0,11869.0,835.0,783.0,3.0,0,4380
11250.0,36000.0,2066.4,9319.0,5840.0,7066.0,4321.0,533.0,1.0,0,4380
6525.0,28440.0,1864.35,9356.0,808.0,6870.0,5540.0,1214.0,1.0,0,4380
11250.0,27000.0,2848.05,19384.0,365243.0,1228.0,4754.0,205.0,0.0,0,4380
18000.0,36000.0,1800.0,13154.0,2262.0,6055.0,335.0,452.0,9.0,0,5840
13500.0,45000.0,2110.95,12939.0,392.0,2747.0,135.0,1489.0,4.0,0,5840
15750.0,15750.0,1158.75,11238.0,1286.0,1196.0,5009.0,104.0,4.0,1,5840
15750.0,125640.0,3686.4,8764.0,499.0,3390.0,1408.0,1.0,0.0,0,4380
8100.0,54000.0,2770.2,12592.0,8579.0,8639.0,4620.0,2976.0,0.0,0,4380
18000.0,45000.0,2250.0,9481.0,3139.0,2951.0,2962.0,1711.0,1.0,0,4380
16200.0,123681.6,3629.25,13348.0,3717.0,7408.0,541.0,1865.0,3.0,0,4380
7200.0,26100.0,1511.1,16217.0,1680.0,1866.0,3398.0,4.0,1.0,0,4380
7560.0,28670.4,1745.55,17873.0,365243.0,13721.0,4129.0,1610.0,3.0,0,4380
27000.0,52128.0,1998.45,10574.0,1081.0,5437.0,1379.0,918.0,2.0,0,5840
9900.0,24750.0,1021.05,9255.0,5275.0,7020.0,4642.0,336.0,3.0,0,4380
18000.0,49182.3,2291.85,10633.0,581.0,577.0,5267.0,0.0,0.0,0,4380
9000.0,15282.0,1658.7,10573.0,3004.0,4006.0,4920.0,2581.0,3.0,0,4380
19350.0,67500.0,2615.4,7423.0,913.0,358.0,2235.0,1460.0,0.0,0,4380
27000.0,76022.55,3233.7,10273.0,5879.0,5795.0,4774.0,0.0,2.0,0,5110
13500.0,22500.0,2362.5,8074.0,2279.0,3769.0,4240.0,1716.0,2.0,1,4380
15750.0,128835.0,3780.0,10241.0,345.0,7924.0,5019.0,248.0,1.0,0,5840
13500.0,54449.1,1769.4,11831.0,7467.0,3316.0,3914.0,2552.0,0.0,0,4380
