Client_Income,Credit_Amount,Loan_Annuity,Age_Days,Employed_Days,Registration_Days,ID_Days,Phone_Change,Credit_Bureau,Divorce,Education_Days
18000.0,49500.0,2763.9,8587.0,713.0,4692.0,3097.0,1416.0,2.0,0,4380
13500.0,31998.15,1552.05,19073.0,365243.0,2507.0,4714.0,0.0,0.0,0,4380
20250.0,107820.0,3152.25,7635.0,1816.0,5572.0,3276.0,671.0,4.0,1,4380
9000.0,69750.0,2779.2,18936.0,365243.0,9884.0,4606.0,1619.0,1.0,0,4380
9450.0,75519.0,3007.8,17299.0,365243.0,5666.0,4353.0,1218.0,1.0,0,4380
11250.0,31050.0,2113.2,9375.0,528.0,4011.0,2032.0,262.0,1.0,0,5110
10350.0,15282.0,1220.4,8987.0,230.0,556.0,1166.0,1367.0,1.0,0,3285
22500.0,25373.7,2004.75,11389.0,1237.0,465.0,455.0,1639.0,5.0,0,5840
29250.0,107820.0,3165.3,16897.0,13650.0,13297.0,3818.0,506.0,1.0,0,5840
9000.0,9000.0,969.3,9282.0,191.0,741.0,1965.0,20.0,0.0,0,5840
14850.0,22923.0,1810.8,10509.0,1242.0,4372.0,2414.0,869.0,4.0,0,4380
18000.0,135000.0,3561.3,9876.0,5354.0,4109.0,4194.0,136.0,4.0,0,4380
13500.0,27000.0,1350.0,13012.0,7425.0,4506.0,215.0,2299.0,0.0,0,4380
9900.0,112500.0,3289.5,14810.0,2384.0,6909.0,2001.0,1058.0,0.0,0,4380
18000.0,53959.05,2637.45,7928.0,3754.0,43.0,3966.0,1604.0,3.0,0,5840
9000.0,106159.95,3117.15,10353.0,380.0,2087.0,5557.0,1447.0,1.0,0,4380
8100.0,6750.0,482.85,18401.0,365243.0,3931.0,4463.0,1225.0,2.0,0,5840
14850.0,110499.75,3350.25,14492.0,933.0,12079.0,1644.0,1.0,0.0,0,5840
18000.0,15638.4,1223.1,18417.0,365243.0,11542.0,5134.0,1005.0,4.0,0,4380
18000.0,45000.0,2250.0,17217.0,3859.0,7543.0,4377.0,744.0,6.0,0,5840
13500.0,94230.0,3052.8,8640.0,1119.0,5304.0,371.0,185.0,5.0,0,5840
11250.0,107820.0,3165.3,18098.0,365243.0,10950.0,4543.0,1322.0,0.0,0,4380
13500.0,151541.55,4010.4,12618.0,1446.0,7915.0,4369.0,1817.0,4.0,0,4380
9900.0,26710.2,2110.5,12463.0,669.0,8599.0,4147.0,1925.0,1.0,0,4380
14850.0,67387.5,3135.6,7969.0,1806.0,5551.0,4017.0,0.0,0.0,0,4380
11250.0,33750.0,1687.5,14006.0,1503.0,5319.0,1204.0,1035.0,3.0,0,4380
31500.0,128835.0,3766.95,15140.0,1724.0,2549.0,2339.0,631.0,3.0,0,4380
45000.0,241038.0,10905.3,18465.0,2761.0,10293.0,4345.0,4.0,0.0,0,5840
7650.0,22500.0,1804.05,8891.0,1407.0,2649.0,911.0,518.0,1.0,0,3285
13500.0,102474.0,5245.2,10642.0,1295.0,7928.0,5133.0,489.0,2.0,0,4380
